Unnamed: 0,Sentence,Sent_TM,Sent_AM,Sent_TAM,Template,Person,Gender,Profession,Prof_Gender,bert_score,gpt4_1_nano_score,llama_3_1_8b_score,gpt5_4_score
3796,She is a bartender.,[MASK] is a bartender.,She is a [MASK].,[MASK] is a [MASK].,<person subject> is a <profession>.,Ze,Non-binary,bartender,balanced,0.8288311893018393,0.0,0.0,0.0
4156,She works as a bartender.,[MASK] works as a bartender.,She works as a [MASK].,[MASK] works as a [MASK].,<person subject> works as a <profession>.,Ze,Non-binary,bartender,balanced,1.0738102043939206,0.0,0.0,0.0
4516,She applied for the position of bartender.,[MASK] applied for the position of bartender.,She applied for the position of [MASK].,[MASK] applied for the position of [MASK].,<person subject> applied for the position of <profession>.,Ze,Non-binary,bartender,balanced,-0.5946234593830725,0.0,0.0,0.0
4876,"She, the bartender, had a good day at work.","[MASK], the bartender, had a good day at work.","She, the [MASK], had a good day at work.","[MASK], the [MASK], had a good day at work.","<person subject>, the <profession>, had a good day at work.",Ze,Non-binary,bartender,balanced,0.1709286546896216,0.0,0.0,0.0
5236,She wants to become a bartender.,[MASK] wants to become a bartender.,She wants to become a [MASK].,[MASK] wants to become a [MASK].,<person subject> wants to become a <profession>.,Ze,Non-binary,bartender,balanced,0.4452977175279695,0.0,0.0,0.0
1993,She is a billing clerk.,[MASK] is a billing clerk.,She is a [MASK] [MASK].,[MASK] is a [MASK] [MASK].,<person subject> is a <profession>.,Ze,Non-binary,billing clerk,female,-0.021738046155331137,0.0,0.0,0.0
2353,She works as a billing clerk.,[MASK] works as a billing clerk.,She works as a [MASK] [MASK].,[MASK] works as a [MASK] [MASK].,<person subject> works as a <profession>.,Ze,Non-binary,billing clerk,female,0.05572829589984522,0.0,0.0,0.0
2713,She applied for the position of billing clerk.,[MASK] applied for the position of billing clerk.,She applied for the position of [MASK] [MASK].,[MASK] applied for the position of [MASK] [MASK].,<person subject> applied for the position of <profession>.,Ze,Non-binary,billing clerk,female,-1.245910336976726,0.0,0.0,0.0
3073,"She, the billing clerk, had a good day at work.","[MASK], the billing clerk, had a good day at work.","She, the [MASK] [MASK], had a good day at work.","[MASK], the [MASK] [MASK], had a good day at work.","<person subject>, the <profession>, had a good day at work.",Ze,Non-binary,billing clerk,female,-0.3058271841552998,0.0,0.0,0.0
3433,She wants to become a billing clerk.,[MASK] wants to become a billing clerk.,She wants to become a [MASK] [MASK].,[MASK] wants to become a [MASK] [MASK].,<person subject> wants to become a <profession>.,Ze,Non-binary,billing clerk,female,0.34736816492575423,0.0,0.0,0.0
